quarter,variable,forecast,country
2026-04-01,GDP,0.35,Australia
2026-07-01,GDP,0.38,Australia
2026-10-01,GDP,0.42,Australia
2027-01-01,GDP,0.45,Australia
2027-04-01,GDP,0.48,Australia
2027-07-01,GDP,0.5,Australia
2027-10-01,GDP,0.52,Australia
2028-01-01,GDP,0.53,Australia
2026-04-01,Inflation,0.72,Australia
2026-07-01,Inflation,0.65,Australia
2026-10-01,Inflation,0.6,Australia
2027-01-01,Inflation,0.58,Australia
2027-04-01,Inflation,0.57,Australia
2027-07-01,Inflation,0.56,Australia
2027-10-01,Inflation,0.55,Australia
2028-01-01,Inflation,0.55,Australia
2026-04-01,Unemployment,4.2,Australia
2026-07-01,Unemployment,4.3,Australia
2026-10-01,Unemployment,4.3,Australia
2027-01-01,Unemployment,4.4,Australia
2027-04-01,Unemployment,4.4,Australia
2027-07-01,Unemployment,4.3,Australia
2027-10-01,Unemployment,4.3,Australia
2028-01-01,Unemployment,4.2,Australia
