quarter,variable,forecast,country
2026-04-01,GDP,0.42,US
2026-07-01,GDP,0.45,US
2026-10-01,GDP,0.48,US
2027-01-01,GDP,0.5,US
2027-04-01,GDP,0.52,US
2027-07-01,GDP,0.53,US
2027-10-01,GDP,0.55,US
2028-01-01,GDP,0.55,US
2026-04-01,Inflation,0.68,US
2026-07-01,Inflation,0.63,US
2026-10-01,Inflation,0.6,US
2027-01-01,Inflation,0.58,US
2027-04-01,Inflation,0.57,US
2027-07-01,Inflation,0.56,US
2027-10-01,Inflation,0.55,US
2028-01-01,Inflation,0.55,US
2026-04-01,Unemployment,4.2,US
2026-07-01,Unemployment,4.3,US
2026-10-01,Unemployment,4.4,US
2027-01-01,Unemployment,4.4,US
2027-04-01,Unemployment,4.4,US
2027-07-01,Unemployment,4.3,US
2027-10-01,Unemployment,4.3,US
2028-01-01,Unemployment,4.2,US
