quarter,variable,value,country
1959-07-01,GDP,80842,Australia
1959-10-01,GDP,81602,Australia
1960-01-01,GDP,82016,Australia
1960-04-01,GDP,84257,Australia
1960-07-01,GDP,84438,Australia
1960-10-01,GDP,84286,Australia
1961-01-01,GDP,84539,Australia
1961-04-01,GDP,83609,Australia
1961-07-01,GDP,83006,Australia
1961-10-01,GDP,83959,Australia
1962-01-01,GDP,86308,Australia
1962-04-01,GDP,87969,Australia
1962-07-01,GDP,88673,Australia
1962-10-01,GDP,90263,Australia
1963-01-01,GDP,92352,Australia
1963-04-01,GDP,91159,Australia
1963-07-01,GDP,94901,Australia
1963-10-01,GDP,96925,Australia
1964-01-01,GDP,96758,Australia
1964-04-01,GDP,99153,Australia
1964-07-01,GDP,99760,Australia
1964-10-01,GDP,102593,Australia
1965-01-01,GDP,103470,Australia
1965-04-01,GDP,105090,Australia
1965-07-01,GDP,104774,Australia
1965-10-01,GDP,105032,Australia
1966-01-01,GDP,104732,Australia
1966-04-01,GDP,106160,Australia
1966-07-01,GDP,109160,Australia
1966-10-01,GDP,109881,Australia
1967-01-01,GDP,114174,Australia
1967-04-01,GDP,114016,Australia
1967-07-01,GDP,116153,Australia
1967-10-01,GDP,117162,Australia
1968-01-01,GDP,116120,Australia
1968-04-01,GDP,120583,Australia
1968-07-01,GDP,122177,Australia
1968-10-01,GDP,126736,Australia
1969-01-01,GDP,125871,Australia
1969-04-01,GDP,128360,Australia
1969-07-01,GDP,130479,Australia
1969-10-01,GDP,133488,Australia
1970-01-01,GDP,136256,Australia
1970-04-01,GDP,139020,Australia
1970-07-01,GDP,138729,Australia
1970-10-01,GDP,139334,Australia
1971-01-01,GDP,141069,Australia
1971-04-01,GDP,141684,Australia
1971-07-01,GDP,146103,Australia
1971-10-01,GDP,145631,Australia
1972-01-01,GDP,143895,Australia
1972-04-01,GDP,147099,Australia
1972-07-01,GDP,146358,Australia
1972-10-01,GDP,147888,Australia
1973-01-01,GDP,151728,Australia
1973-04-01,GDP,152014,Australia
1973-07-01,GDP,153536,Australia
1973-10-01,GDP,157369,Australia
1974-01-01,GDP,157417,Australia
1974-04-01,GDP,154222,Australia
1974-07-01,GDP,156046,Australia
1974-10-01,GDP,156226,Australia
1975-01-01,GDP,156823,Australia
1975-04-01,GDP,161783,Australia
1975-07-01,GDP,159991,Australia
1975-10-01,GDP,157586,Australia
1976-01-01,GDP,164568,Australia
1976-04-01,GDP,165058,Australia
1976-07-01,GDP,166399,Australia
1976-10-01,GDP,167832,Australia
1977-01-01,GDP,166929,Australia
1977-04-01,GDP,169294,Australia
