quarter,variable,value,country
1947-01-01,GDP,2182.681,US
1947-04-01,GDP,2176.892,US
1947-07-01,GDP,2172.432,US
1947-10-01,GDP,2206.452,US
1948-01-01,GDP,2239.682,US
1948-04-01,GDP,2276.69,US
1948-07-01,GDP,2289.77,US
1948-10-01,GDP,2292.364,US
1949-01-01,GDP,2260.807,US
1949-04-01,GDP,2253.128,US
1949-07-01,GDP,2276.424,US
1949-10-01,GDP,2257.352,US
1950-01-01,GDP,2346.104,US
1950-04-01,GDP,2417.682,US
1950-07-01,GDP,2511.127,US
1950-10-01,GDP,2559.214,US
1951-01-01,GDP,2593.967,US
1951-04-01,GDP,2638.898,US
1951-07-01,GDP,2693.259,US
1951-10-01,GDP,2699.156,US
1952-01-01,GDP,2727.954,US
1952-04-01,GDP,2733.8,US
1952-07-01,GDP,2753.517,US
1952-10-01,GDP,2843.941,US
1953-01-01,GDP,2896.811,US
1953-04-01,GDP,2919.206,US
1953-07-01,GDP,2902.785,US
1953-10-01,GDP,2858.845,US
1954-01-01,GDP,2845.192,US
1954-04-01,GDP,2848.305,US
1954-07-01,GDP,2880.482,US
1954-10-01,GDP,2936.852,US
1955-01-01,GDP,3020.746,US
1955-04-01,GDP,3069.91,US
1955-07-01,GDP,3111.379,US
1955-10-01,GDP,3130.068,US
1956-01-01,GDP,3117.922,US
1956-04-01,GDP,3143.694,US
1956-07-01,GDP,3140.874,US
1956-10-01,GDP,3192.57,US
1957-01-01,GDP,3213.011,US
1957-04-01,GDP,3205.97,US
1957-07-01,GDP,3237.386,US
1957-10-01,GDP,3203.894,US
1958-01-01,GDP,3120.724,US
1958-04-01,GDP,3141.224,US
1958-07-01,GDP,3213.884,US
1958-10-01,GDP,3289.032,US
1959-01-01,GDP,3352.129,US
1959-04-01,GDP,3427.667,US
1959-07-01,GDP,3430.057,US
1959-10-01,GDP,3439.832,US
1960-01-01,GDP,3517.181,US
1960-04-01,GDP,3498.246,US
1960-07-01,GDP,3515.385,US
1960-10-01,GDP,3470.278,US
1961-01-01,GDP,3493.703,US
1961-04-01,GDP,3553.021,US
1961-07-01,GDP,3621.252,US
1961-10-01,GDP,3692.289,US
1962-01-01,GDP,3758.147,US
1962-04-01,GDP,3792.149,US
1962-07-01,GDP,3838.776,US
1962-10-01,GDP,3851.421,US
1963-01-01,GDP,3893.482,US
1963-04-01,GDP,3937.183,US
1963-07-01,GDP,4023.755,US
1963-10-01,GDP,4050.147,US
1964-01-01,GDP,4135.553,US
1964-04-01,GDP,4180.592,US
1964-07-01,GDP,4245.918,US
1964-10-01,GDP,4259.046,US
