country,variable,quarter,judgement
Australia,Unemployment,2025-01-01,0
Australia,Unemployment,2025-04-01,0
Australia,Unemployment,2025-07-01,0
Australia,Unemployment,2025-10-01,0
Australia,Unemployment,2026-01-01,0
Australia,Unemployment,2026-04-01,0
Australia,Unemployment,2026-07-01,0
Australia,Unemployment,2026-10-01,0
Australia,Inflation,2026-04-01,0
Australia,Inflation,2026-07-01,0
Australia,Inflation,2026-10-01,0
Australia,Inflation,2027-01-01,0
Australia,Inflation,2027-04-01,0
Australia,Inflation,2027-07-01,0
Australia,Inflation,2027-10-01,0
Australia,Inflation,2028-01-01,0
US,Inflation,2026-04-01,0
US,Inflation,2026-07-01,0
US,Inflation,2026-10-01,0
US,Inflation,2027-01-01,0
US,Inflation,2027-04-01,0
US,Inflation,2027-07-01,0
US,Inflation,2027-10-01,0
US,Inflation,2028-01-01,0
US,Unemployment,2026-04-01,0
US,Unemployment,2026-07-01,0
US,Unemployment,2026-10-01,0
US,Unemployment,2027-01-01,0
US,Unemployment,2027-04-01,0
US,Unemployment,2027-07-01,0
US,Unemployment,2027-10-01,0
US,Unemployment,2028-01-01,0
US,GDP,2026-04-01,0.5
US,GDP,2026-07-01,1
US,GDP,2026-10-01,0
US,GDP,2027-01-01,0
US,GDP,2027-04-01,0
US,GDP,2027-07-01,0
US,GDP,2027-10-01,0
US,GDP,2028-01-01,0
Australia,GDP,2026-04-01,1
Australia,GDP,2026-07-01,2
Australia,GDP,2026-10-01,0
Australia,GDP,2027-01-01,0
Australia,GDP,2027-04-01,0
Australia,GDP,2027-07-01,0
Australia,GDP,2027-10-01,0
Australia,GDP,2028-01-01,0
