quarter,variable,forecast,country
2026-04-01,GDP,0.27,US
2026-07-01,GDP,0.30,US
2026-10-01,GDP,0.33,US
2027-01-01,GDP,0.35,US
2027-04-01,GDP,0.37,US
2027-07-01,GDP,0.38,US
2027-10-01,GDP,0.40,US
2028-01-01,GDP,0.40,US
2026-04-01,Inflation,0.75,US
2026-07-01,Inflation,0.70,US
2026-10-01,Inflation,0.67,US
2027-01-01,Inflation,0.65,US
2027-04-01,Inflation,0.64,US
2027-07-01,Inflation,0.63,US
2027-10-01,Inflation,0.62,US
2028-01-01,Inflation,0.62,US
2026-04-01,Unemployment,4.3,US
2026-07-01,Unemployment,4.5,US
2026-10-01,Unemployment,4.6,US
2027-01-01,Unemployment,4.7,US
2027-04-01,Unemployment,4.7,US
2027-07-01,Unemployment,4.6,US
2027-10-01,Unemployment,4.5,US
2028-01-01,Unemployment,4.4,US
2026-04-01,GDP,0.22,Australia
2026-07-01,GDP,0.26,Australia
2026-10-01,GDP,0.30,Australia
2027-01-01,GDP,0.33,Australia
2027-04-01,GDP,0.36,Australia
2027-07-01,GDP,0.38,Australia
2027-10-01,GDP,0.40,Australia
2028-01-01,GDP,0.41,Australia
2026-04-01,Inflation,0.82,Australia
2026-07-01,Inflation,0.75,Australia
2026-10-01,Inflation,0.70,Australia
2027-01-01,Inflation,0.67,Australia
2027-04-01,Inflation,0.65,Australia
2027-07-01,Inflation,0.63,Australia
2027-10-01,Inflation,0.62,Australia
2028-01-01,Inflation,0.62,Australia
2026-04-01,Unemployment,4.4,Australia
2026-07-01,Unemployment,4.5,Australia
2026-10-01,Unemployment,4.6,Australia
2027-01-01,Unemployment,4.7,Australia
2027-04-01,Unemployment,4.7,Australia
2027-07-01,Unemployment,4.6,Australia
2027-10-01,Unemployment,4.5,Australia
2028-01-01,Unemployment,4.4,Australia
